"","noncoverage_rates_2010.route","p_vals"
"1","31236-31236",5.29907463417591e-10
"2","31222-31222",1.7018110428455e-05
"3","31212-31212",0.00299125935464901
"4","31205-31205",1.7018110428455e-05
"5","31215-31215",7.07913688723734e-17
"6","31204-31204",5.46874614745847e-08
"7","31228-31228",2.2560511105211e-05
"8","31217-31217",3.35962895888706e-08
"9","31225-31225",5.01154756766044e-09
